Case ID,Case Type,Court,Judge Name,Date,Plaintiff,Defendant,Case Summary,Key Arguments,Verdict,Appeal Status,Legal References,Outcome Summary
848,Constitutional,High Court,Justice Kumar,2021-12-22,Party_341,Party_702,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
849,Civil Dispute,NCLT,Justice Nair,2023-03-18,Party_182,Party_611,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Dismissed,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
850,Criminal Case,Family Court,Justice Mehta,2019-08-08,Party_309,Party_842,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
851,Constitutional,District Court,Justice Sharma,2016-07-06,Party_381,Party_532,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
852,Corporate Law,Family Court,Justice Sharma,2020-03-17,Party_304,Party_581,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
853,Corporate Law,District Court,Justice Kumar,2023-01-23,Party_237,Party_641,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
854,Civil Dispute,Family Court,Justice Sharma,2016-09-19,Party_138,Party_703,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
855,Criminal Case,High Court,Justice Reddy,2018-04-03,Party_497,Party_925,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
856,Constitutional,NCLT,Justice Kumar,2024-02-25,Party_334,Party_842,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,No Appeal,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
857,Criminal Case,District Court,Justice Nair,2023-12-21,Party_82,Party_756,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Dismissed,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
858,Constitutional,Family Court,Justice Kumar,2023-08-02,Party_81,Party_993,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Dismissed,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
859,Constitutional,High Court,Justice Sharma,2015-09-19,Party_205,Party_797,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
860,Constitutional,Family Court,Justice Reddy,2021-07-10,Party_443,Party_781,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,No Appeal,Companies Act 2013,Guilty with reference to Companies Act 2013.
861,Criminal Case,District Court,Justice Sharma,2020-11-03,Party_96,Party_559,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
862,Family Law,Supreme Court,Justice Kumar,2022-11-23,Party_129,Party_654,Legal dispute over family law issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Dismissed,Hindu Marriage Act 1955,Not Guilty with reference to Hindu Marriage Act 1955.
863,Corporate Law,Supreme Court,Justice Kumar,2018-12-20,Party_199,Party_674,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
864,Civil Dispute,High Court,Justice Nair,2018-11-11,Party_438,Party_632,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
865,Constitutional,Family Court,Justice Nair,2019-05-21,Party_90,Party_675,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Dismissed,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
866,Constitutional,District Court,Justice Nair,2024-01-03,Party_471,Party_969,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Dismissed,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
867,Constitutional,NCLT,Justice Sharma,2015-10-23,Party_151,Party_989,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
868,Corporate Law,High Court,Justice Sharma,2019-05-08,Party_42,Party_887,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Pending,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
869,Constitutional,NCLT,Justice Reddy,2024-12-06,Party_183,Party_783,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
870,Constitutional,High Court,Justice Mehta,2019-10-29,Party_254,Party_692,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Dismissed,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
871,Civil Dispute,High Court,Justice Reddy,2017-04-18,Party_460,Party_555,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
872,Criminal Case,High Court,Justice Reddy,2016-10-16,Party_455,Party_981,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
873,Criminal Case,High Court,Justice Sharma,2023-05-13,Party_303,Party_649,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
874,Constitutional,Family Court,Justice Reddy,2016-05-09,Party_62,Party_706,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
875,Criminal Case,Supreme Court,Justice Kumar,2015-07-14,Party_38,Party_850,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,No Appeal,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
876,Criminal Case,District Court,Justice Kumar,2019-07-24,Party_207,Party_844,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
877,Family Law,High Court,Justice Kumar,2023-12-18,Party_157,Party_800,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,No Appeal,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
878,Corporate Law,NCLT,Justice Mehta,2017-05-26,Party_159,Party_668,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
879,Civil Dispute,Family Court,Justice Kumar,2021-11-25,Party_440,Party_942,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
880,Family Law,Family Court,Justice Kumar,2024-02-04,Party_254,Party_517,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
881,Civil Dispute,Supreme Court,Justice Mehta,2017-11-30,Party_495,Party_655,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"Constitution of India, Article 21","In favor of Plaintiff with reference to Constitution of India, Article 21."
882,Constitutional,District Court,Justice Reddy,2023-12-31,Party_78,Party_818,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,Not Guilty,Appeal Pending,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
883,Corporate Law,Supreme Court,Justice Kumar,2019-10-13,Party_171,Party_921,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,No Appeal,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
884,Family Law,Supreme Court,Justice Reddy,2017-12-09,Party_29,Party_569,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
885,Criminal Case,Family Court,Justice Nair,2021-04-06,Party_18,Party_561,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
886,Criminal Case,NCLT,Justice Kumar,2019-03-05,Party_453,Party_987,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
887,Criminal Case,Supreme Court,Justice Kumar,2017-04-22,Party_23,Party_646,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
888,Family Law,NCLT,Justice Mehta,2020-05-06,Party_210,Party_831,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,No Appeal,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
889,Corporate Law,NCLT,Justice Nair,2018-10-25,Party_346,Party_747,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
890,Corporate Law,High Court,Justice Sharma,2015-03-19,Party_325,Party_953,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
891,Civil Dispute,NCLT,Justice Nair,2020-09-25,Party_319,Party_697,Legal dispute over civil dispute issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,No Appeal,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
892,Civil Dispute,NCLT,Justice Kumar,2017-04-15,Party_405,Party_560,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,No Appeal,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
893,Family Law,Supreme Court,Justice Reddy,2023-03-16,Party_305,Party_802,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
894,Constitutional,High Court,Justice Kumar,2016-09-03,Party_379,Party_634,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
895,Constitutional,Family Court,Justice Kumar,2019-12-12,Party_468,Party_820,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
896,Constitutional,Family Court,Justice Mehta,2019-05-23,Party_486,Party_573,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
897,Corporate Law,District Court,Justice Kumar,2020-11-01,Party_183,Party_955,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
898,Civil Dispute,High Court,Justice Sharma,2023-08-15,Party_75,Party_795,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Dismissed,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
899,Family Law,Supreme Court,Justice Mehta,2015-01-02,Party_372,Party_704,Legal dispute over family law issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
900,Constitutional,High Court,Justice Kumar,2017-02-25,Party_231,Party_722,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,Appeal Dismissed,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
901,Family Law,Family Court,Justice Kumar,2019-05-22,Party_76,Party_645,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
902,Criminal Case,District Court,Justice Mehta,2018-05-11,Party_392,Party_623,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Pending,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
903,Constitutional,Supreme Court,Justice Nair,2024-05-19,Party_33,Party_658,Legal dispute over constitutional issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
904,Criminal Case,NCLT,Justice Kumar,2019-09-07,Party_13,Party_577,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
905,Constitutional,High Court,Justice Mehta,2024-05-18,Party_474,Party_669,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
906,Corporate Law,Supreme Court,Justice Reddy,2019-10-27,Party_392,Party_968,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Not Guilty,No Appeal,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
907,Corporate Law,High Court,Justice Reddy,2024-09-05,Party_423,Party_940,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,Appeal Pending,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
908,Family Law,Family Court,Justice Sharma,2018-10-26,Party_299,Party_991,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
909,Constitutional,NCLT,Justice Reddy,2015-10-10,Party_47,Party_639,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
910,Corporate Law,High Court,Justice Reddy,2018-01-14,Party_25,Party_770,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Pending,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
911,Criminal Case,NCLT,Justice Sharma,2017-08-14,Party_361,Party_537,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
912,Criminal Case,Supreme Court,Justice Nair,2018-06-16,Party_334,Party_568,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Pending,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
913,Criminal Case,NCLT,Justice Nair,2023-05-11,Party_185,Party_954,Legal dispute over criminal case issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
914,Criminal Case,Family Court,Justice Sharma,2022-07-22,Party_186,Party_752,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,Guilty,Appeal Pending,Hindu Marriage Act 1955,Guilty with reference to Hindu Marriage Act 1955.
915,Civil Dispute,Family Court,Justice Sharma,2023-11-03,Party_321,Party_795,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Plaintiff,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
916,Corporate Law,NCLT,Justice Sharma,2019-01-14,Party_216,Party_932,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
917,Family Law,High Court,Justice Kumar,2021-07-13,Party_482,Party_850,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"Constitution of India, Article 21","In favor of Defendant with reference to Constitution of India, Article 21."
918,Criminal Case,Supreme Court,Justice Reddy,2019-10-27,Party_107,Party_820,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",In favor of Defendant,Appeal Pending,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
919,Family Law,NCLT,Justice Sharma,2020-07-27,Party_364,Party_868,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Dismissed,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
920,Family Law,NCLT,Justice Reddy,2021-09-02,Party_3,Party_715,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Dismissed,Companies Act 2013,Guilty with reference to Companies Act 2013.
921,Criminal Case,NCLT,Justice Kumar,2018-11-22,Party_422,Party_622,Legal dispute over criminal case issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","In favor of Plaintiff with reference to Article 300A, Transfer of Property Act 1882."
922,Corporate Law,NCLT,Justice Nair,2016-03-22,Party_48,Party_503,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Plaintiff,No Appeal,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
923,Corporate Law,Supreme Court,Justice Reddy,2019-04-06,Party_30,Party_511,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
924,Corporate Law,High Court,Justice Kumar,2017-09-06,Party_378,Party_594,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Dismissed,Companies Act 2013,Guilty with reference to Companies Act 2013.
925,Corporate Law,NCLT,Justice Reddy,2020-09-11,Party_299,Party_534,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Defendant,Appeal Pending,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
926,Civil Dispute,High Court,Justice Nair,2018-11-17,Party_297,Party_579,Legal dispute over civil dispute issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
927,Family Law,Supreme Court,Justice Kumar,2016-02-05,Party_255,Party_585,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Pending,"IPC Section 378, 323","In favor of Defendant with reference to IPC Section 378, 323."
928,Corporate Law,District Court,Justice Nair,2019-02-26,Party_438,Party_906,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,Guilty,Appeal Dismissed,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
929,Civil Dispute,Family Court,Justice Kumar,2018-12-25,Party_204,Party_591,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Not Guilty,No Appeal,Companies Act 2013,Not Guilty with reference to Companies Act 2013.
930,Corporate Law,High Court,Justice Mehta,2023-09-10,Party_330,Party_620,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
931,Constitutional,NCLT,Justice Nair,2017-10-27,Party_138,Party_795,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
932,Criminal Case,District Court,Justice Reddy,2022-07-29,Party_32,Party_841,Legal dispute over criminal case issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
933,Family Law,NCLT,Justice Sharma,2020-12-28,Party_408,Party_679,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,Companies Act 2013,Guilty with reference to Companies Act 2013.
934,Corporate Law,District Court,Justice Sharma,2020-03-02,Party_175,Party_570,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,Appeal Dismissed,Hindu Marriage Act 1955,Not Guilty with reference to Hindu Marriage Act 1955.
935,Civil Dispute,NCLT,Justice Mehta,2017-11-22,Party_195,Party_832,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,No Appeal,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
936,Criminal Case,Supreme Court,Justice Sharma,2016-04-01,Party_350,Party_766,Legal dispute over criminal case issue.,Arguments presented based on Companies Act 2013.,In favor of Defendant,Appeal Pending,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
937,Criminal Case,NCLT,Justice Kumar,2022-02-24,Party_277,Party_759,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
938,Corporate Law,NCLT,Justice Reddy,2022-12-06,Party_376,Party_801,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,Appeal Pending,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
939,Criminal Case,District Court,Justice Reddy,2023-08-24,Party_473,Party_884,Legal dispute over criminal case issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
940,Family Law,Family Court,Justice Sharma,2023-03-08,Party_120,Party_514,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
941,Family Law,NCLT,Justice Kumar,2024-10-23,Party_433,Party_649,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,Appeal Dismissed,Companies Act 2013,In favor of Defendant with reference to Companies Act 2013.
942,Civil Dispute,Supreme Court,Justice Reddy,2022-04-17,Party_106,Party_578,Legal dispute over civil dispute issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,No Appeal,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
943,Family Law,District Court,Justice Sharma,2016-08-22,Party_194,Party_614,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Not Guilty with reference to Article 300A, Transfer of Property Act 1882."
944,Corporate Law,High Court,Justice Nair,2023-02-05,Party_489,Party_523,Legal dispute over corporate law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,"Article 300A, Transfer of Property Act 1882","In favor of Defendant with reference to Article 300A, Transfer of Property Act 1882."
945,Family Law,High Court,Justice Nair,2024-02-12,Party_350,Party_706,Legal dispute over family law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Guilty,Appeal Dismissed,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
946,Family Law,District Court,Justice Kumar,2016-10-05,Party_481,Party_617,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Plaintiff,Appeal Dismissed,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
947,Corporate Law,District Court,Justice Kumar,2023-07-22,Party_390,Party_517,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
948,Constitutional,District Court,Justice Reddy,2015-10-12,Party_135,Party_590,Legal dispute over constitutional issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Pending,Companies Act 2013,In favor of Plaintiff with reference to Companies Act 2013.
949,Civil Dispute,Family Court,Justice Sharma,2022-06-05,Party_247,Party_974,Legal dispute over civil dispute issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Dismissed,Companies Act 2013,Joint Custody with reference to Companies Act 2013.
950,Family Law,District Court,Justice Mehta,2016-11-29,Party_71,Party_891,Legal dispute over family law issue.,"Arguments presented based on Constitution of India, Article 21.",Not Guilty,No Appeal,"Constitution of India, Article 21","Not Guilty with reference to Constitution of India, Article 21."
951,Family Law,Family Court,Justice Reddy,2018-02-26,Party_63,Party_526,Legal dispute over family law issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,Appeal Dismissed,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
952,Corporate Law,Family Court,Justice Kumar,2023-11-08,Party_415,Party_909,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,Appeal Pending,"Constitution of India, Article 21","Guilty with reference to Constitution of India, Article 21."
953,Corporate Law,High Court,Justice Sharma,2024-02-24,Party_381,Party_529,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Joint Custody,No Appeal,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
954,Corporate Law,NCLT,Justice Mehta,2024-01-19,Party_416,Party_678,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Guilty,No Appeal,"Article 300A, Transfer of Property Act 1882","Guilty with reference to Article 300A, Transfer of Property Act 1882."
955,Corporate Law,High Court,Justice Kumar,2018-06-18,Party_276,Party_945,Legal dispute over corporate law issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Dismissed,"Constitution of India, Article 21","Joint Custody with reference to Constitution of India, Article 21."
